graph_path,type,order,density,id,runtime_igraph,is_perfect_igraph,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00005.txt,IMH,00025,50000,00005,61,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00006.txt,IMH,00025,50000,00006,62,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00007.txt,IMH,00025,50000,00007,60,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00008.txt,IMH,00025,50000,00008,62,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00009.txt,IMH,00025,50000,00009,55,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_50000_00010.txt,IMH,00025,50000,00010,64,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00001.txt,IMH,00025,75000,00001,38,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00002.txt,IMH,00025,75000,00002,52,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00003.txt,IMH,00025,75000,00003,55,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00004.txt,IMH,00025,75000,00004,49,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00005.txt,IMH,00025,75000,00005,83,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00006.txt,IMH,00025,75000,00006,52,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00007.txt,IMH,00025,75000,00007,55,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00008.txt,IMH,00025,75000,00008,48,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00009.txt,IMH,00025,75000,00009,47,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00025_75000_00010.txt,IMH,00025,75000,00010,44,1,0,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00001.txt,IMH,00050,25000,00001,908,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00002.txt,IMH,00050,25000,00002,887,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00003.txt,IMH,00050,25000,00003,911,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00004.txt,IMH,00050,25000,00004,851,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00005.txt,IMH,00050,25000,00005,910,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00006.txt,IMH,00050,25000,00006,791,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00007.txt,IMH,00050,25000,00007,831,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00008.txt,IMH,00050,25000,00008,915,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00009.txt,IMH,00050,25000,00009,859,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_25000_00010.txt,IMH,00050,25000,00010,843,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00001.txt,IMH,00050,50000,00001,854,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00002.txt,IMH,00050,50000,00002,875,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00003.txt,IMH,00050,50000,00003,859,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00004.txt,IMH,00050,50000,00004,939,1,4,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00005.txt,IMH,00050,50000,00005,889,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00006.txt,IMH,00050,50000,00006,904,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00007.txt,IMH,00050,50000,00007,854,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00008.txt,IMH,00050,50000,00008,851,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00009.txt,IMH,00050,50000,00009,825,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_50000_00010.txt,IMH,00050,50000,00010,925,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00001.txt,IMH,00050,75000,00001,821,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00002.txt,IMH,00050,75000,00002,914,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00003.txt,IMH,00050,75000,00003,782,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00004.txt,IMH,00050,75000,00004,873,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00005.txt,IMH,00050,75000,00005,868,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00006.txt,IMH,00050,75000,00006,795,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00007.txt,IMH,00050,75000,00007,886,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00008.txt,IMH,00050,75000,00008,941,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00009.txt,IMH,00050,75000,00009,893,1,2,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00050_75000_00010.txt,IMH,00050,75000,00010,980,1,3,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00001.txt,IMH,00075,25000,00001,4080,1,14,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00002.txt,IMH,00075,25000,00002,3888,1,11,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00003.txt,IMH,00075,25000,00003,4036,1,11,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00004.txt,IMH,00075,25000,00004,4080,1,12,1
/Users/burakerdem/graphs/is_perfect_test/graph_IMH_00075_25000_00005.txt,IMH,00075,25000,00005,4011,1,13,1
