graph_path,type,order,density,id,runtime_ours,is_perfect_ours
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00002.txt,perfectOperations,00800,50000,00002,15379,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00003.txt,perfectOperations,00800,50000,00003,14575,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00004.txt,perfectOperations,00800,50000,00004,16171,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00005.txt,perfectOperations,00800,50000,00005,28363,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00006.txt,perfectOperations,00800,50000,00006,15692,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00007.txt,perfectOperations,00800,50000,00007,14578,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00008.txt,perfectOperations,00800,50000,00008,15620,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00009.txt,perfectOperations,00800,50000,00009,16338,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_50000_00010.txt,perfectOperations,00800,50000,00010,16318,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00001.txt,perfectOperations,00800,75000,00001,13799,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00002.txt,perfectOperations,00800,75000,00002,13815,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00003.txt,perfectOperations,00800,75000,00003,10852,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00004.txt,perfectOperations,00800,75000,00004,13404,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00005.txt,perfectOperations,00800,75000,00005,14897,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00006.txt,perfectOperations,00800,75000,00006,14675,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00007.txt,perfectOperations,00800,75000,00007,13761,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00008.txt,perfectOperations,00800,75000,00008,15561,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00009.txt,perfectOperations,00800,75000,00009,15899,1
/Users/burakerdem/graphs/is_perfect_test2/graph_perfectOperations_00800_75000_00010.txt,perfectOperations,00800,75000,00010,13472,1
